date,equity,trade_number,rolling_peak,drawdown_sek,drawdown_pct
2026-04-10,9999.13552464314,1,10000.0,-0.8644753568605665,-8.644753568609609e-05
2026-04-10,10004.875242467317,2,10004.875242467317,0.0,0.0
2026-04-13,10012.75790979002,3,10012.75790979002,0.0,0.0
2026-04-13,10017.30448745477,4,10017.30448745477,0.0,0.0
2026-04-13,10024.579789415859,5,10024.579789415859,0.0,0.0
2026-04-14,10028.670017723203,6,10028.670017723203,0.0,0.0
2026-04-14,10024.579224796118,7,10028.670017723203,-4.090792927085204,-0.0004079098145473026
2026-04-14,10027.342478179547,8,10028.670017723203,-1.3275395436558028,-0.00013237443662117432
2026-04-21,10035.124311864362,9,10035.124311864362,0.0,0.0
2026-04-21,10040.28358867371,10,10040.28358867371,0.0,0.0
2026-04-27,10048.350748709818,11,10048.350748709818,0.0,0.0
2026-04-27,10053.250646858887,12,10053.250646858887,0.0,0.0
2026-04-28,10050.450075089102,13,10053.250646858887,-2.800571769785165,-0.00027857375372020154
2026-04-28,10045.757537125617,14,10053.250646858887,-7.493109733270103,-0.0007453419790752758
2026-04-30,10057.917954701354,15,10057.917954701354,0.0,0.0
2026-05-04,10046.38966212186,16,10057.917954701354,-11.528292579494519,-0.0011461907555236905
2026-05-06,10058.103960230768,17,10058.103960230768,0.0,0.0
2026-05-06,10065.572752376684,18,10065.572752376684,0.0,0.0
2026-05-06,10072.38007249592,19,10072.38007249592,0.0,0.0
2026-05-07,10061.98765705939,20,10072.38007249592,-10.392415436530428,-0.0010317735591519606
2026-05-11,10078.194307727896,21,10078.194307727896,0.0,0.0
2026-05-11,10078.468265352076,22,10078.468265352076,0.0,0.0
2026-05-11,10083.53409514982,23,10083.53409514982,0.0,0.0
2026-05-12,10066.542264624977,24,10083.53409514982,-16.991830524842953,-0.0016851066664231862
2026-05-13,10083.395044864548,25,10083.53409514982,-0.13905028527187824,-1.3789836376787434e-05
2026-05-19,10091.771640823687,26,10091.771640823687,0.0,0.0
2026-05-19,10093.167574207902,27,10093.167574207902,0.0,0.0
2026-05-19,10083.433867072927,28,10093.167574207902,-9.733707134975703,-0.0009643857652625876
2026-05-20,10090.859586182565,29,10093.167574207902,-2.307988025337181,-0.00022866835494095294
2026-05-20,10095.673997083637,30,10095.673997083637,0.0,0.0
2026-05-21,10101.453361409516,31,10101.453361409516,0.0,0.0
2026-05-21,10100.207124421637,32,10101.453361409516,-1.2462369878794561,-0.0001233720478917011
2026-05-21,10104.141810711148,33,10104.141810711148,0.0,0.0
2026-05-22,10116.52863813634,34,10116.52863813634,0.0,0.0
2026-05-22,10120.639784101108,35,10120.639784101108,0.0,0.0
2026-05-25,10127.35326359408,36,10127.35326359408,0.0,0.0
2026-06-01,10130.15914400277,37,10130.15914400277,0.0,0.0
2026-06-02,10145.025831742993,38,10145.025831742993,0.0,0.0
2026-06-03,10160.640004855604,39,10160.640004855604,0.0,0.0
2026-06-03,10153.007182366116,40,10160.640004855604,-7.632822489487808,-0.0007512147350796639
2026-06-04,10148.396530769383,41,10160.640004855604,-12.243474086220886,-0.0012049904415833979
2026-06-05,10154.619877335213,42,10160.640004855604,-6.020127520390815,-0.0005924949134615831
2026-06-09,10148.090224687043,43,10160.640004855604,-12.549780168561483,-0.0012351367790379708
2026-06-10,10151.717250244765,44,10160.640004855604,-8.922754610839547,-0.0008781685608952872
2026-06-11,10156.44675410628,45,10160.640004855604,-4.193250749323852,-0.00041269553367895284
2026-06-12,10165.968015234283,46,10165.968015234283,0.0,0.0
2026-06-12,10173.25971461503,47,10173.25971461503,0.0,0.0
2026-06-12,10165.130632367414,48,10173.25971461503,-8.12908224761486,-0.000799063670412048
2026-06-12,10155.79464635454,49,10173.25971461503,-17.465068260489716,-0.00171676225226014
2026-06-16,10151.350502108131,50,10173.25971461503,-21.909212506898257,-0.002153607901646648
2026-06-17,10159.373548755584,51,10173.25971461503,-13.8861658594451,-0.0013649672031370574
2026-06-18,10157.037697067732,52,10173.25971461503,-16.222017547297582,-0.0015945742075170743
2026-06-26,10158.686350660675,53,10173.25971461503,-14.573363954354136,-0.0014325166527909827
2026-06-30,10164.587638988134,54,10173.25971461503,-8.672075626895094,-0.0008524382420352916
2026-06-30,10170.726406705026,55,10173.25971461503,-2.533307910003714,-0.0002490163409830659
2026-06-30,10175.593518822416,56,10175.593518822416,0.0,0.0
2026-07-01,10169.02002257491,57,10175.593518822416,-6.573496247505318,-0.0006460061750055424
